"2025-12-17","161.35.115.179","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","157.230.177.107","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","161.35.115.179","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","161.35.115.179","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-12-17","143.244.157.245","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003L(.\ufffd\ufffdP֩Pݶ\ufffdN={\u0008\\\u001a\ufffdMW!$]I\ufffd\ufffd+/\ufffd \ufffd\u0012\ufffd?\ufffd\ufffd\u0014
"2025-12-17","157.230.177.107","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","157.230.177.107","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\u001bf\ufffd\ufffd@J\ufffd\ufffdz\ufffd\u003e(\ufffd\u0019\u003cr\ufffd\ufffd\ufffd\u001et\u00182\ufffd\ufffd\ufffdw\u0006\u0015\ufffd $3\u001di\ufffd\ufffd\u0012֫\u0006\u0007̹\ufffd\ufffdf\ufffd\ufffd_c\"\ufffd\u0001\u0017\ufffd9\ufffd%ڟM{\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-12-17","157.230.177.107","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","161.35.115.179","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-12-17","161.35.115.179","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
