"2025-06-10","80.82.70.133","Seychelles","TCP","\u0016\u0003\u0002\u0001o\u0001\u0000\u0001k\u0003\u0002RH\ufffd\u001a#\ufffd:N\ufffdⴂ/\ufffd\tT\ufffd\ufffd\ufffdy\ufffdh\ufffd\u0013\ufffd\ufffd\u001c=\"\ufffd\u001a\ufffd \ufffd\ufffd
"2025-06-10","60.13.138.88","China","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd$l
"2025-06-10","220.250.11.49","China","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003Ⱦ\ufffd\ufffd\ufffd\u0026\ufffd\ufffd\ufffds\ufffd\u000brW@\ufffd\ufffdl\ufffd\ufffd\u0004{\ufffdeW\n\ufffd\u0011\ufffds$\ufffd \ufffdL\ufffdQW\u000b%\ufffdy0\ufffd\ufffdD\ufffd\ufffd?\ufffdy\ufffdZ\ufffd\ufffd)\u0014\t\ufffdx\ufffd\ufffd\ufffd\u0002\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-06-10","1.24.16.73","China","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nAccept: */*\r\n\r\n"
"2025-06-10","111.113.88.220","China","TCP","USER anonymous\r\n"
"2025-06-10","159.89.49.171","United States","TCP","\r\n\r\n"
"2025-06-10","159.89.49.171","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-06-10","159.89.49.171","United States","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-06-10","159.89.49.171","United States","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-06-10","159.89.49.171","United States","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-06-10","159.89.49.171","United States","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-06-10","159.89.49.171","United States","TCP","HELP\r\n"
"2025-06-10","159.89.49.171","United States","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-06-10","159.89.49.171","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
